Rank,Name,Platform,Year,Genre,Publisher
795,Dragon Quest VI: Realms of Revelation,PS2,2003,Action,THQ
796,The Evil Within,X360,2010,Action,Take-Two Interactive
797,DDRMAX2: Dance Dance Revolution,Wii,2009,Misc,Mindscape
798,Virtua Fighter 4,DS,2006,Simulation,Electronic Arts
799,Sly 2: Band of Thieves,PS4,2015,Shooter,Electronic Arts
800,Sonic Advance 2,PSP,2010,Action,Konami Digital Entertainment
801,NFL GameDay 2000,PC,2010,Role-Playing,Activision
802,Disney's The Lion King,PS2,2002,Puzzle,THQ
803,Beyond: Two Souls,PS3,2008,Racing,Electronic Arts
804,Kinect Star Wars,Wii,2007,Simulation,Konami Digital Entertainment
805,Midnight Club II,GC,2003,Misc,Nintendo
806,Dragon Quest Monsters: Joker,PS3,2010,Action,Take-Two Interactive
807,SpongeBob SquarePants: SuperSponge,PC,1998,Strategy,Electronic Arts
808,The Getaway: Black Monday,PC,1994,Strategy,Activision
809,Professor Layton and the Mask of Miracle,PS3,2010,Sports,Electronic Arts
810,Just Cause 2,PS,2002,Shooter,Take-Two Interactive
811,Dragon's Dogma,PSP,2010,Role-Playing,Square Enix
812,50 Cent: Bulletproof,X360,2009,Fighting,THQ
813,Wii Party U,PS3,2011,Role-Playing,Namco Bandai Games
814,Final Fantasy II,GBA,2001,Strategy,Konami Digital Entertainment
815,Kirby 64: The Crystal Shards,X360,2007,Racing,Electronic Arts
816,Dead or Alive 3,PS3,2010,Simulation,Electronic Arts
817,Metroid II: Return of Samus,X360,2010,Action,Ubisoft
818,WWF Attitude,GBA,2005,Role-Playing,Nintendo
819,The SpongeBob SquarePants Movie,GBA,2004,Action,THQ
820,Golden Sun,PS,1998,Racing,Namco Bandai Games
821,Sonic the Hedgehog 3,PS2,2003,Fighting,Namco Bandai Games
822,Kid Icarus,3DS,2013,Role-Playing,Nintendo
823,Def Jam: Fight for NY,PS3,2007,Racing,Electronic Arts
824,State of Emergency,DS,2008,Misc,Take-Two Interactive
825,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,PS3,2013,Sports,Take-Two Interactive
826,The Urbz: Sims in the City,DS,2005,Role-Playing,Nintendo
827,Star Wars: Starfighter,GC,2002,Misc,Infogrames
828,Madden NFL 2000,PS3,2013,Role-Playing,Activision
829,Pro Evolution Soccer,GEN,1992,Sports,Arena Entertainment
830,Crackdown,X360,2007,Racing,Microsoft Game Studios
831,Yoshi,DS,2009,Role-Playing,Square Enix
832,Disney's Aladdin,X360,2011,Misc,Microsoft Game Studios
833,Kirby's Adventure,Wii,2008,Misc,Ubisoft
834,Cooking Mama 3: Shop & Chop,PS2,2006,Shooter,Sony Computer Entertainment
835,Dance Dance Revolution X,PS2,2005,Action,Ubisoft
836,2 Games in 1: Disney Princess & The Lion King,GBA,2003,Platform,Nintendo
837,Star Wars Episode I: The Phantom Menace,PS3,2011,Action,Electronic Arts
838,Xenosaga Episode I: Der Wille zur Macht,PS4,2014,Sports,Electronic Arts
839,The Beatles: Rock Band,N64,1998,Sports,Nintendo
840,Forza Motorsport 6,X360,2011,Misc,Ubisoft
841,Sonic Colors,PS2,2003,Sports,Electronic Arts
842,Cruis'n USA,PS3,2008,Action,Electronic Arts
843,Madden NFL 99,X360,2005,Shooter,Activision
844,Uncharted: Golden Abyss,X360,2014,Sports,Electronic Arts
845,SSX Tricky,X360,2012,Racing,Microsoft Game Studios
846,Overwatch,DS,2007,Puzzle,Midway Games
847,Twisted Metal III,XOne,2016,Shooter,Ubisoft
848,Disney Infinity,PS3,2013,Action,Warner Bros. Interactive Entertainment
849,Crash Bandicoot: The Huge Adventure,3DS,2012,Role-Playing,Nintendo
850,Dishonored,PS4,2014,Racing,Sony Computer Entertainment
851,The Order: 1886,SNES,1993,Fighting,Nintendo
852,The Elder Scrolls Online,PS3,2008,Fighting,Midway Games
853,Call of Duty: World at War Final Fronts,PS,1997,Action,Activision
854,Imagine: Teacher,GB,1989,Sports,Nintendo
855,Star Ocean: Till The End of Time,GBA,2002,Action,Electronic Arts
856,The Sims 3: Late Night Expansion Pack,PS,2002,Action,Electronic Arts
857,Game Party 3,SNES,1991,Simulation,Nintendo
858,Toy Story 2: Buzz Lightyear to the Rescue!,XOne,2013,Shooter,Electronic Arts
859,Deal or No Deal,X360,2012,Shooter,Capcom
860,Ace Combat 5: The Unsung War,PS4,2014,Role-Playing,Electronic Arts
861,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,2010,Platform,Sega
862,Cabela's Big Game Hunter 2010,PS2,2002,Platform,Universal Interactive
863,The Crew,Wii,2008,Shooter,Activision
864,We Ski,PS2,2003,Action,Capcom
865,Personal Trainer: Math,PS3,2008,Racing,Electronic Arts
866,Kirby's Return to Dreamland,2600,1981,Action,Atari
867,Super Puyo Puyo,X360,2013,Shooter,Take-Two Interactive
868,Ben 10: Protector of Earth,PSP,2004,Sports,Sony Computer Entertainment
869,NCAA Football 07,NES,1986,Racing,Nintendo
870,SOCOM 3: U.S. Navy SEALs,NES,1985,Sports,Nintendo
871,Saints Row IV,DS,2006,Platform,Nintendo
872,Jampack Winter '99,X360,2006,Shooter,Ubisoft
873,WCW vs. nWo: World Tour,X360,2014,Shooter,Activision
874,WCW/NWO Thunder,PS2,2003,Racing,Vivendi Games
875,Dragon Ball Z: The Legacy of Goku,XB,2005,Action,Take-Two Interactive
876,Sid Meier's Civilization V,PC,1994,Shooter,LucasArts
877,Call of Duty Black Ops: Declassified,PS2,2003,Sports,Electronic Arts
878,Star Wars Battlefront: Renegade Squadron,PS2,2003,Fighting,Electronic Arts
879,World Championship Poker: Featuring Howard Lederer - All In,X360,2008,Sports,Electronic Arts
880,NFL GameDay 98,PC,1999,Misc,Disney Interactive Studios
881,LEGO Batman 2: DC Super Heroes,PS,2001,Adventure,THQ
882,Yoshi's Cookie,GB,1989,Puzzle,Nintendo
883,Time Crisis,PS2,2004,Fighting,Atari
884,The Sims: Superstar,PS,1997,Racing,Sony Computer Entertainment
885,Star Wars The Clone Wars: Lightsaber Duels,PS2,2002,Shooter,Ubisoft
886,Metroid Fusion,PS2,2004,Role-Playing,Activision
887,Shaun White Snowboarding: Road Trip,X360,2013,Action,Warner Bros. Interactive Entertainment
888,SSX 3,PS3,2008,Misc,Activision
889,Big Beach Sports,SNES,1993,Fighting,Acclaim Entertainment
890,Madden NFL 2001,SAT,1995,Fighting,Sega
891,Fight Night Round 3,GB,1998,Puzzle,Nintendo
892,Knack,X360,2008,Fighting,Midway Games
893,Disney's DuckTales,PS3,2014,Action,Ubisoft
894,"Monsters, Inc.",Wii,2008,Sports,Nintendo
895,StarCraft II: Heart of the Swarm,X360,2013,Action,Square Enix
896,PGR: Project Gotham Racing 2,GB,2001,Action,Nintendo
897,Spy Hunter,X360,2009,Racing,Electronic Arts
898,NCAA Football 2004,Wii,2008,Misc,Electronic Arts
899,SpongeBob SquarePants: Battle for Bikini Bottom,PS2,2001,Shooter,THQ
900,Dying Light,PC,2003,Simulation,Electronic Arts
901,Heavenly Sword,PS2,2004,Racing,THQ
902,Street Fighter II': Special Champion Edition,PS,1996,Misc,Sony Computer Entertainment
903,SSX,Wii,2009,Misc,Disney Interactive Studios
904,NBA Ballers,N64,2000,Misc,Nintendo
905,Need for Speed Carbon,Wii,2008,Action,LucasArts
906,NBA Live 2003,Wii,2008,Misc,Midway Games
907,Dragon Ball Z: Budokai Tenkaichi,PS4,2015,Shooter,Activision
908,Ms. Pac-Man,Wii,2011,Action,LucasArts
909,Mario Party 6,GC,2001,Simulation,LucasArts
910,Super Scope 6,PS3,2012,Shooter,Take-Two Interactive
911,Go Vacation,PS4,2013,Racing,Electronic Arts
912,Army of Two,PS3,2008,Sports,Electronic Arts
913,Dragon Quest IV: Chapters of the Chosen,3DS,2013,Role-Playing,Nintendo
914,Kirby & the Amazing Mirror,PS3,2009,Platform,Sony Computer Entertainment
915,LEGO Pirates of the Caribbean: The Video Game,PS,1999,Role-Playing,Konami Digital Entertainment
916,Dig Dug,PS2,2004,Fighting,Midway Games
917,Tom Clancy's Rainbow Six,PS,1999,Sports,Sony Computer Entertainment
918,Ghosts 'n Goblins,PS2,2005,Shooter,Electronic Arts
919,Tiger Woods PGA Tour 2003,PS,1998,Fighting,THQ
920,NBA Live 06 (All region sales),PS2,2007,Misc,Disney Interactive Studios
921,Prince of Persia: Warrior Within,GC,2002,Adventure,Nintendo
922,Kinectimals,PS,1998,Sports,Electronic Arts
923,Until Dawn,PS2,2001,Action,THQ
924,Viva Pinata,3DS,2013,Platform,Nintendo
925,Pikmin,GB,2001,Adventure,Nintendo
926,Sonic Generations,XB,2005,Sports,Electronic Arts
927,Tiger Woods PGA Tour 2004,PS2,2004,Platform,Activision
928,Ape Escape,PS,1999,Role-Playing,Sony Computer Entertainment
929,NCAA Football 2005,N64,1997,Platform,Acclaim Entertainment
930,Tony Hawk's American Wasteland (Old all region sales),PS2,2004,Misc,Sony Computer Entertainment
931,Rage,PS4,2014,Platform,Sony Computer Entertainment
932,Mario Hoops 3 on 3,PS2,2001,Sports,Electronic Arts
933,Kirby Air Ride,DS,2009,Action,Disney Interactive Studios
934,Sled Storm,PS,1999,Role-Playing,SquareSoft
935,Pokemon Battle Revolution,Wii,2010,Action,Activision
936,NFL Street 2,3DS,2013,Misc,Nintendo
937,Gears of War: Judgment,PS2,2004,Platform,Sony Computer Entertainment
938,Yu-Gi-Oh! Duel Monsters,Wii,2007,Misc,Ubisoft
939,Super Mario Strikers,GBA,2004,Role-Playing,Square Enix
940,Buzz! The Music Quiz,NES,1984,Action,Nintendo
941,SpongeBob's Atlantis SquarePantis,PS3,2011,Action,Sony Computer Entertainment
942,Dance Dance Revolution: Hottest Party 2,PS2,2001,Racing,Unknown
943,Moshi Monsters: Moshling Zoo,PS3,2009,Role-Playing,Namco Bandai Games
944,Dollar Dash,PS2,2005,Sports,Electronic Arts
945,Far Cry 2,N64,1998,Simulation,Nintendo
946,F-1 World Grand Prix,GBA,2005,Misc,THQ
947,River Raid,PC,2012,Role-Playing,Activision
948,Silent Hill,PS,1996,Racing,Sony Computer Entertainment
949,Dragon Quest V: Hand of the Heavenly Bride,PS4,2015,Action,Square Enix
950,No Man's Sky,SNES,1993,Role-Playing,SquareSoft
951,ESPN NBA 2K5,X360,2007,Shooter,Electronic Arts
952,Diablo,PS,1995,Simulation,Sony Computer Entertainment
953,Soul Edge,3DS,2014,Platform,Nintendo
954,Devil May Cry 4,GEN,1994,Platform,Sega
955,SoulCalibur IV,PS2,2001,Misc,Namco Bandai Games
956,NASCAR 2000,PC,2001,Simulation,Electronic Arts
957,Wolfenstein: The New Order,Wii,2007,Shooter,Nintendo
958,Carnival Games: Mini Golf,DS,2010,Role-Playing,Nintendo
959,Guitar Hero: On Tour Decades,PS4,2014,Action,Bethesda Softworks
960,MySims Kingdom,PS2,2003,Simulation,Konami Digital Entertainment
961,Jampack Summer 2K,DC,2000,Racing,Sega
962,Guitar Hero 5,PS2,2002,Fighting,Sega
963,High School Musical 3: Senior Year,PS2,2004,Platform,Sony Computer Entertainment
964,Kingdom Hearts 3D: Dream Drop Distance,PS2,2008,Misc,Activision
965,Hannah Montana: Music Jam,GBA,2002,Platform,Sega
966,Pokemon Mystery Dungeon: Explorers of Sky,X360,2006,Sports,Electronic Arts
967,Spyro 2: Season of Flame,PS3,2010,Action,Take-Two Interactive
968,NCAA Football 2002,PS,1999,Sports,989 Studios
969,Conflict: Desert Storm,PS3,2015,Shooter,Activision
970,Mario Party 7,SNES,1994,Platform,Virgin Interactive
971,Pro Evolution Soccer 2013,PS3,2013,Adventure,Sony Computer Entertainment
972,Smuggler's Run,X360,2012,Action,Microsoft Game Studios
973,Donkey Kong Classics,PS2,2003,Racing,Take-Two Interactive
974,Twisted Metal,DS,2006,Role-Playing,Square Enix
975,Dark Souls III,PS,2001,Action,THQ
976,Final Fight,PS2,2004,Action,Sony Computer Entertainment
977,Dragon Quest Monsters 2,3DS,2011,Puzzle,Nintendo
978,Pokemon Pinball: Ruby & Sapphire,PS3,2010,Action,Square Enix
979,Mafia II,PS3,2012,Role-Playing,Capcom
980,Stuntman,WiiU,2013,Action,Nintendo
981,Tom Clancy's Rainbow Six 3,PS2,2005,Action,Vivendi Games
982,Active Life: Outdoor Challenge,Wii,2007,Misc,Disney Interactive Studios
983,007: The World is not Enough,WiiU,2013,Misc,Nintendo
984,Spider-Man 2: Enter: Electro,PS3,2013,Sports,Electronic Arts
985,Star Wars: The Force Unleashed II,SNES,1991,Role-Playing,Square
986,Ni no Kuni: Wrath of the White Witch,N64,2000,Platform,Nintendo
987,Command & Conquer: Tiberian Sun,XB,2001,Fighting,Microsoft Game Studios
988,LEGO Battles: Ninjago,PS3,2009,Fighting,THQ
989,Mario Party 10,GB,1991,Adventure,Nintendo
990,Dead Rising 3,PS,1998,Fighting,Acclaim Entertainment
991,Resident Evil: The Umbrella Chronicles,PS2,2004,Platform,THQ
992,Fire Emblem Fates,GBA,2001,Role-Playing,Nintendo
993,Dark Cloud,GEN,1994,Platform,Sega
994,Warcraft III: The Frozen Throne,NES,1986,Platform,Nintendo
995,Tom Clancy's Ghost Recon Advanced Warfighter,PS2,2004,Fighting,Electronic Arts
996,Disney Fairies: Tinker Bell,XB,2002,Shooter,Ubisoft
997,MVP Baseball 2005,PS2,2002,Action,Take-Two Interactive
998,Die Hard Trilogy,PS3,2013,Shooter,Take-Two Interactive
999,Fight Night Round 4,X360,2012,Action,Square Enix
1000,The Simpsons Game,GBA,2007,Action,THQ
1001,Mortal Kombat 3,X360,2015,Shooter,Activision
1002,NFL GameDay 99,PS2,2004,Simulation,Electronic Arts
1003,Call of Duty: Modern Warfare: Reflex Edition,PS3,2007,Sports,Electronic Arts
1004,Mario Golf: Toadstool Tour,PS2,2001,Simulation,Activision
1005,Tiger Woods 99 PGA Tour Golf,PS,1998,Sports,Electronic Arts
1006,Donkey Kong Country: Tropical Freeze,PS3,2013,Role-Playing,Square Enix
1007,Dead Space 2,XB,2004,Shooter,Activision
1008,Sonic Rivals 2,PS2,2001,Sports,Konami Digital Entertainment
1009,Knockout Kings,X360,2007,Shooter,Microsoft Game Studios
1010,The Simpsons Skateboarding,NES,1991,Puzzle,Nintendo
1011,NASCAR 98,SNES,1993,Platform,Capcom
1012,F1 Race,NES,1993,Platform,Nintendo
1013,Xevious,DS,2009,Simulation,505 Games
1014,NASCAR 99,PS2,2008,Simulation,Konami Digital Entertainment
1015,NBA Live 2000,GBA,2004,Misc,THQ
1016,Super Monkey Ball 2,PS,1999,Adventure,LucasArts
1017,Pac-Man World 2,PS2,2002,Role-Playing,Namco Bandai Games
1018,Sonic & Sega All-Stars Racing,PS3,2011,Shooter,Valve
1019,Football Manager 2012,Wii,2009,Misc,MTV Games
1020,Puzzle & Dragons,XOne,2015,Racing,Microsoft Game Studios
1021,Mega Man 2,Wii,2010,Platform,Sega
1022,Simpsons Wrestling,N64,1996,Racing,Nintendo
1023,NBA Live 98,PS,1998,Sports,Electronic Arts
1024,Resistance 3,PS4,2014,Role-Playing,Activision
1025,Tokyo Xtreme Racer Zero,PSV,2011,Shooter,Sony Computer Entertainment
1026,Final Fantasy XIV: A Realm Reborn,PS3,2014,Shooter,Activision
1027,NFL Blitz,PS2,2001,Sports,Electronic Arts
1028,Red Faction II,PS4,2016,Shooter,Activision
1029,Super Scribblenauts,PS,1998,Action,989 Studios
1030,WWF No Mercy,GB,2001,Action,Electronic Arts
1031,Ice Climber,Wii,2013,Action,Disney Interactive Studios
1032,Sonic CD,GBA,2002,Platform,Universal Interactive
1033,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,X360,2012,Action,Bethesda Softworks
1034,Dead Rising 2,PS2,2003,Action,Take-Two Interactive
1035,Pac-Man World,PS4,2015,Shooter,Sony Computer Entertainment
1036,Disney Sing It: Pop Hits,PS4,2015,Role-Playing,Bethesda Softworks
1037,Final Fantasy: Crystal Chronicles,PS2,2008,Shooter,Activision
1038,Drawn To Life: SpongeBob SquarePants Edition,DS,2008,Simulation,Ubisoft
1039,Banjo-Tooie,PC,2011,Shooter,Activision
1040,Buzz! The BIG Quiz,XB,2004,Sports,Electronic Arts
1041,007: Quantum of Solace,PS2,2003,Role-Playing,Ubisoft
1042,New Play Control! Mario Power Tennis,PC,2010,Simulation,Electronic Arts
1043,Bratz: Forever Diamondz,Wii,2009,Puzzle,Warner Bros. Interactive Entertainment
1044,Dirge of Cerberus: Final Fantasy VII,PS,1998,Platform,Activision
1045,Nintendo World Cup,DS,2007,Misc,Mindscape
1046,WWF WrestleMania 2000,PS2,2004,Simulation,Sony Computer Entertainment Europe
1047,Wario Land II,XB,2003,Racing,Electronic Arts
1048,Major League Baseball 2K5,DS,2006,Misc,Nintendo
1049,Fight Night 2004,GBA,2001,Puzzle,THQ
1050,Tom Clancy's Splinter Cell: Pandora Tomorrow,Wii,2009,Sports,Activision Value
1051,Imagine: Master Chef,PS4,2014,Racing,Ubisoft
1052,Assassin's Creed III: Liberation,PS2,2009,Sports,Electronic Arts
1053,Mario Golf,Wii,2008,Sports,Namco Bandai Games
1054,Disney Princess,DS,2007,Puzzle,Nintendo
1055,Metal Gear Rising: Revengeance,Wii,2011,Platform,Nintendo
1056,The House of the Dead 2 & 3 Return,SNES,1993,Puzzle,Banpresto
1057,Disney Princess: Magical Jewels,DS,2007,Action,D3Publisher
1058,LittleBigPlanet PS Vita,PS2,2006,Sports,Electronic Arts
1059,Xenogears,PS2,2005,Shooter,Sony Computer Entertainment
1060,Tom Clancy's Ghost Recon: Future Soldier,XOne,2014,Sports,Take-Two Interactive
1061,Battlefield: Bad Company,PS3,2008,Action,THQ
1062,Midway Arcade Treasures,X360,2013,Action,Deep Silver
1063,Wall-E,PS,1999,Misc,Sony Computer Entertainment
1064,Triple Play 99,PS3,2009,Role-Playing,Electronic Arts
1065,Homefront,X360,2015,Sports,Electronic Arts
1066,Super Monkey Ball,N64,1997,Fighting,THQ
1067,Mortal Kombat 4,PS,1998,Fighting,THQ
1068,Mario Superstar Baseball,GBA,2001,Action,Electronic Arts
1069,Medal of Honor: Warfighter,X360,2008,Racing,Electronic Arts
1070,WCW vs the World,GBA,2002,Role-Playing,Infogrames
1071,SNK vs. Capcom: The Match of the Millennium,PC,2010,Strategy,Take-Two Interactive
1072,LEGO City Undercover,GC,2005,Action,Capcom
1073,Onimusha 3: Demon Siege,PSV,2012,Action,Activision
1074,Red Dead Revolver,PSP,2007,Shooter,LucasArts
1075,Anno 2070,PS2,2006,Misc,Oxygen Interactive
1076,Resident Evil: Outbreak,PS,1997,Sports,Sony Computer Entertainment
1077,Smarty Pants,X360,2012,Action,Warner Bros. Interactive Entertainment
1078,Tamagotchi,GB,1992,Puzzle,Nintendo
1079,4 Nin uchi Mahjong,PS,1997,Shooter,Namco Bandai Games
1080,Dragon Ball Z,PC,2003,Simulation,Electronic Arts
1081,Game de Hakken!! Tamagotchi 2,Wii,2008,Action,LucasArts
1082,Namco Museum 64,Wii,2007,Simulation,Electronic Arts
1083,Hasbro Family Game Night,GBA,2002,Action,Nintendo
1084,Dragon Quest Monsters: Joker 2,Wii,2008,Sports,Ubisoft
1085,Tony Hawk's American Wasteland (Weekly american sales),PS2,2003,Sports,Electronic Arts
1086,My Word Coach,Wii,2008,Sports,THQ
1087,Hello Kitty Party,PS,2000,Sports,Electronic Arts
1088,SingStar Pop,PS3,2006,Fighting,Electronic Arts
1089,Sonic Rivals,PS4,2013,Platform,Sony Computer Entertainment Europe
1090,SimCity (2013),XB,2005,Shooter,Activision
1091,Kirby Super Star,NES,1989,Platform,Capcom
1092,Kinect Joy Ride,PS,2001,Sports,Activision
1093,Rayman Raving Rabbids,GBA,2001,Adventure,THQ
1094,Tiger Woods PGA Tour 2005,PC,2013,Strategy,Activision
1095,NCAA Football 2003,XB,2003,Racing,Microsoft Game Studios
1096,Frogger 2: Swampy's Revenge,PS2,2001,Racing,Midway Games
1097,LEGO Indiana Jones 2: The Adventure Continues,PS2,2003,Sports,Electronic Arts
1098,Tiger Woods PGA Tour 09 All-Play,PS2,2003,Platform,THQ
1099,Classic NES Series: Super Mario Bros.,PS4,2015,Action,Warner Bros. Interactive Entertainment
1100,Triple Play 2000,PS3,2007,Action,Sony Computer Entertainment
1101,Cabela's Big Game Hunter,GEN,1992,Fighting,Sega
1102,UFC Undisputed 2010,PS2,2000,Sports,Electronic Arts
1103,NBA Live 06 (Weekly american sales),X360,2012,Shooter,Take-Two Interactive
1104,The Legend of Zelda: The Minish Cap,PS2,2004,Sports,Midway Games
1105,NFL Street,X360,2006,Racing,Electronic Arts
1106,Super Metroid,PS2,2002,Sports,Electronic Arts
1107,Pro Yakyuu Family Stadium '87,PS2,2005,Fighting,Atari
1108,Resident Evil (Remake),2600,1981,Puzzle,Atari
1109,Inazuma Eleven 2,GC,2004,Misc,Nintendo
1110,Injustice: Gods Among Us,SNES,1991,Shooter,Nintendo
1111,Ridge Racer,Wii,2011,Misc,Namco Bandai Games
1112,Metroid: Other M,PS2,2004,Role-Playing,Enix Corporation
1113,Knockout Kings 2000,X360,2008,Shooter,Electronic Arts
1114,Gran Turismo 4 Prologue,DS,2007,Role-Playing,Square Enix
1115,Twisted Metal: Black,GBA,2004,Platform,Nintendo
1116,NASCAR 2005: Chase for the Cup,Wii,2011,Action,Disney Interactive Studios
1117,2Xtreme,2600,1982,Puzzle,Atari
1118,Sonic Advance 3,PS,1999,Shooter,Red Storm Entertainment
1119,Colin McRae Rally 3,NES,1986,Action,Capcom
1120,Doom (2016),PS2,2002,Sports,Electronic Arts
1121,Final Fantasy XII: Revenant Wings,PS2,2005,Sports,Electronic Arts
1122,Bakugan: Battle Brawlers,PS2,2004,Action,Ubisoft
1123,Deus Ex: Human Revolution,X360,2010,Simulation,Microsoft Game Studios
1124,Teenage Mutant Ninja Turtles III: The Manhattan Project,PS4,2015,Adventure,Sony Computer Entertainment Europe
1125,Dynasty Warriors 5,XB,2004,Sports,Sega
1126,Hannah Montana: Spotlight World Tour,X360,2006,Simulation,Microsoft Game Studios
1127,WWE '13,GC,2001,Strategy,Nintendo
1128,The Sims 2,PC,2008,Shooter,Activision
1129,Paper Mario,PS3,2011,Platform,Sega
1130,Bravely Default: Flying Fairy,PS2,2003,Sports,Electronic Arts
1131,Duke Nukem: Time to Kill,PS,1999,Platform,Sony Computer Entertainment
1132,Persona 4: Golden,X360,2014,Sports,Take-Two Interactive
1133,Hasbro Family Game Night 2,PS2,2004,Sports,Electronic Arts
1134,Disney Princess: Enchanted Journey,X360,2010,Action,Square Enix
1135,Gardening Mama,PS3,2008,Misc,Electronic Arts
1136,Dave Mirra Freestyle BMX 2,PS2,2005,Sports,Activision
1137,Assassin's Creed: Rogue,X360,2011,Shooter,Bethesda Softworks
1138,Ridge Racer 7,DS,2006,Sports,Nintendo
1139,A Collection of Activision Classic Games for the Atari 2600,GC,2003,Racing,Nintendo
1140,Forza Horizon 2,PS,1998,Racing,Electronic Arts
1141,MotorStorm: Pacific Rift,Wii,2006,Role-Playing,Nintendo
1142,Star Wars Knights of the Old Republic II: The Sith Lords,PS2,2004,Sports,Electronic Arts
1143,Pocket Monsters Stadium,X360,2013,Shooter,Microsoft Game Studios
1144,Tom Clancy's Ghost Recon 2,GB,1989,Sports,Nintendo
1145,Crash Bandicoot 2: N-Tranced,GB,1998,Strategy,Konami Digital Entertainment
1146,SingStar Abba,GC,2005,Sports,Nintendo
1147,Gradius,PS2,2005,Misc,Sony Computer Entertainment
1148,Dragon Quest III: Soshite Densetsu e...,DS,2007,Action,THQ
1149,Centipede,XOne,2014,Shooter,Ubisoft
1150,Yoshi's New Island,Wii,2008,Simulation,Konami Digital Entertainment
1151,Ryse: Son of Rome,DS,2011,Misc,Activision
1152,Dead to Rights,PS2,2005,Action,Take-Two Interactive
1153,LEGO Harry Potter: Years 5-7,X360,2008,Action,Ubisoft
1154,Marvel vs. Capcom 3: Fate of Two Worlds,N64,1998,Racing,Video System
1155,Dance Dance Revolution (Japan),2600,1981,Shooter,Activision
1156,F1 2010,PS,1999,Action,Konami Digital Entertainment
1157,Madden NFL 98,DS,2008,Role-Playing,Square Enix
1158,Namco Museum DS,PS4,2016,Action,Hello Games
1159,Grand Theft Auto: Chinatown Wars,GC,2003,Platform,Sega
1160,Alan Wake,PS2,2004,Sports,Global Star
1161,Samurai Warriors,PC,1996,Role-Playing,Activision
1162,Monster Hunter Freedom,GC,2006,Action,Nintendo
1163,Crysis 2,PS,1996,Fighting,Sony Computer Entertainment
1164,SaGa Frontier,PS3,2008,Action,Capcom
1165,SingStar Party,2600,1982,Platform,Atari
1166,The ICO & Shadow of the Colossus Collection,PS3,2007,Sports,Konami Digital Entertainment
1167,Test Drive,X360,2008,Fighting,Ubisoft
1168,Mario & Luigi: Partners in Time,X360,2010,Action,Warner Bros. Interactive Entertainment
1169,Lost Planet: Extreme Condition,PS,1999,Racing,Electronic Arts
1170,Doom 3,PS4,2014,Shooter,Bethesda Softworks
1171,Donkey Kong Jungle Beat,Wii,2008,Sports,Take-Two Interactive
1172,Max Payne 2: The Fall of Max Payne,DS,2008,Misc,Activision
1173,Command & Conquer: Red Alert 2,DS,2008,Simulation,Electronic Arts
1174,MVP Baseball 2004,PS,2000,Misc,Sony Computer Entertainment
1175,Ratchet & Clank: Up Your Arsenal (Weekly american sales),X360,2012,Racing,Electronic Arts
1176,Your Shape: Fitness Evolved,Wii,2009,Misc,Activision
1177,Triple Play 2001,DS,2008,Misc,Disney Interactive Studios
1178,Metroid Prime 2: Echoes,3DS,2012,Action,Square Enix
1179,Final Fantasy X / X-2 HD Remaster,DS,2007,Action,Disney Interactive Studios
1180,Corvette,DS,2009,Role-Playing,Nintendo
1181,Petz Wild Animals: Dolphinz,GBA,2002,Platform,Vivendi Games
1182,Pokemon Ranger: Guardian Signs,PS2,2009,Sports,Konami Digital Entertainment
1183,Need for Speed Underground Rivals,PS2,2001,Sports,Electronic Arts
1184,Dark Souls II,PS2,2002,Shooter,Gotham Games
1185,World of Warcraft: Wrath of the Lich King,GC,2005,Misc,Nintendo
1186,The LEGO Movie Videogame,PS3,2012,Sports,Konami Digital Entertainment
1187,TOCA 2: Touring Cars,PS2,2000,Racing,Take-Two Interactive
1188,Gyromite,PS2,2006,Fighting,Electronic Arts
1189,NFL 2K3,NES,1988,Platform,Nintendo
1190,Fighting Force,PS,1995,Action,Sony Computer Entertainment
1191,Mega Man Battle Network 4: Red Sun / Blue Moon,PS4,2016,Role-Playing,Namco Bandai Games
1192,MAG: Massive Action Game,SNES,1990,Action,Capcom
1193,Madden NFL 97,GB,2001,Role-Playing,Enix Corporation
1194,Cars 2,GBA,2003,Misc,Nintendo
1195,TNN Motor Sports Hardcore 4x4,PS4,2013,Action,Warner Bros. Interactive Entertainment
1196,IHRA Drag Racing 2,X360,2010,Action,Take-Two Interactive
1197,[Prototype],PS3,2012,Action,Bethesda Softworks
1198,Madagascar,PS2,2002,Racing,Atari
1199,Rugrats Studio Tour,XB,2003,Shooter,Ubisoft
1200,LEGO Battles,Wii,2008,Sports,Atari
1201,Pitfall II: Lost Caverns,PS3,2010,Shooter,Take-Two Interactive
1202,Turok: Evolution,N64,2000,Action,Electronic Arts
1203,High School Musical 3: Senior Year DANCE!,PS,2001,Action,Activision
1204,Gold's Gym: Cardio Workout,XOne,2014,Action,Ubisoft
1205,Adventure,PS3,2010,Action,LucasArts
1206,Yu-Gi-Oh! The Sacred Cards,PS3,2011,Role-Playing,Namco Bandai Games
1207,NBA Live 07,PC,1999,Strategy,Westwood Studios
1208,SingStar '80s,DS,2011,Strategy,Warner Bros. Interactive Entertainment
1209,EA Playground,WiiU,2015,Misc,Nintendo
